nome_municipio,ano,total_empenhado,total_liquidado,total_pago,saldo_a_pagar
JACARAÚ,2023,88527653.47,87828026.56,81203006.43,7324647.04
JACARAÚ,2024,104461185.61,103604649.39,99910933.67,4550251.94
JACARAÚ,2025,110550033.86,110078673.57,103310102.67,7239931.19
JERICÓ,2023,39592378.6,39379184.98,37758425.11,1833953.49
JERICÓ,2024,46628953.67,46624584.83,44317421.33,2311532.34
JERICÓ,2025,47471649.71,46922531.63,45022930.1,2448719.61
JOÃO PESSOA,2023,3770287747.11,3523376389.36,3472652368.67,297635378.44
JOÃO PESSOA,2024,4541626554.45,4309830026.75,4270687473.38,270939081.07
JOÃO PESSOA,2025,4856505655.22,4571041570.47,4528508501.61,327997153.61
JOCA CLAUDINO,2023,30927693.79,30920419.73,27906308.72,3021385.07
JOCA CLAUDINO,2024,37577739.52,37561335.09,35777561.04,1800178.48
JOCA CLAUDINO,2025,41835297.01,41813408.46,39353519.73,2481777.28
JUAREZ TÁVORA,2023,39068915.55,38394052.91,35720541.9,3348373.65
JUAREZ TÁVORA,2024,43936447.94,43361311.98,40361918.63,3574529.31
JUAREZ TÁVORA,2025,46609161.55,45151895.06,40511687.78,6097473.77
JUAZEIRINHO,2023,87541516.77,86859358.42,84838411.82,2703104.95
JUAZEIRINHO,2024,103868537.03,100669335.76,98647763.61,5220773.42
JUAZEIRINHO,2025,117443100.18,115073131.88,109286626.36,8156473.82
JUNCO DO SERIDÓ,2023,47898014.24,45787069.53,45064963.14,2833051.1
JUNCO DO SERIDÓ,2024,43281073.81,42751309.82,42426043.99,855029.82
JUNCO DO SERIDÓ,2025,44434983.5,44009317.63,43477767.34,957216.16
JURIPIRANGA,2023,51737557.93,51340597.75,50182349.61,1555208.32
JURIPIRANGA,2024,65324478.91,65155387.6,64970031.32,354447.59
JURIPIRANGA,2025,69026376.07,68582990.64,66961573.09,2064802.98
JURU,2023,44750356.83,44608460.36,40519575.29,4230781.54
JURU,2024,56660682.37,56174672.16,53693737.85,2966944.52
JURU,2025,65611089.68,65598369.36,60620879.36,4990210.32
LAGOA,2023,28733576.09,28616163.11,27179427.26,1554148.83
LAGOA,2024,32578517.21,32578338.73,32179779.63,398737.58
LAGOA,2025,32934013.28,32934000.59,32352718.17,581295.11
LAGOA DE DENTRO,2023,40089519.99,39791231.38,37885495.21,2204024.78
